"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","zip_code","birth_year","birth_sex","gender_id","sexual_oriental","enrollment_status","Major","gpa_by_student","college_year","ethnicity","other_home_language","transfer","international_student","relationship_status","annual_household_income","personal_weekly_income","future_personal_annual_income","college_salary_greater","age"
2024,"Fall",12057307,2.928,121,"BA",10457,1980,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.1,"4th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Married",NA,"$601-$800","$60,000 to $99,999","0%-20%",46
2024,"Fall",14243726,3.354,164,"BS",10301,1988,"Female","Female","Homosexual (as in ""lesbian"" or ""gay"")","Full-time (12 credits or more)","Declared: Biology",3.2,"4th year undergraduate","Black or African American","No","No","No","Single","$60,000 to $99,999","$801-$1000","$150,001 to $299,999","0%-20%",38
2024,"Fall",23262772,3.903,120,"BA",10040,1995,"Female","Female","Homosexual (as in ""lesbian"" or ""gay"")","Full-time (12 credits or more)","Declared: Psychology",3.8,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Domestic partnership",NA,"$401-$600","$100,000 to $150,000","20%-40%",31
2024,"Fall",23490894,2.971,115,"BS",11378,1998,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",2.3,"2nd year undergraduate","White or Caucasian","Yes","No","No","Married",NA,"$601-$800","$100,000 to $150,000","20%-40%",28
2024,"Fall",23629886,3.433,9,"BA",11225,1999,"Female","Non-binary","Bisexual","Part-time (Fewer than 12 credits)","Undeclared: Psychology",3.7,"Non-degree seeking","White or Caucasian","No","Yes","No","Single",NA,"$801-$1000","$60,000 to $99,999","40%-60%",27
2024,"Fall",23719032,2.758,113,"BA",11369,2001,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: English",2.68,"5th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","Less than 60,000","20%-40%",25
2024,"Fall",23760247,3.426,120,"BA",10034,2001,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Political Science",3.4,"5th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",25
2024,"Fall",23790458,3.085,114,"BS",10469,2000,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Applied Mathematics",2.8,"3rd year undergraduate","Some other race, ethnicity or origin","No","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",26
2024,"Fall",23805195,3.596,120,"BA",10543,2000,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",3.5,"4th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$201-$400","$60,000 to $99,999","20%-40%",26
2024,"Fall",23911725,2.495,130,"BS",10456,2001,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.2,"4th year undergraduate","Multiracial","Yes","No","No","Single",NA,"$201-$400","$60,000 to $99,999","20%-40%",25
