"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","StartDate","EndDate","duration","LocationLatitude","LocationLongitude","Q103","Q1","Q2","Q2_3_TEXT","Q3","Q4","Q4_6_TEXT","Q5","Q6","Q6_1_TEXT","Q6_2_TEXT","Q7","Q8","Q9","Q10","Q10_1_TEXT","Q10_2_TEXT","Q10_3_TEXT","Q10_4_TEXT","Q10_5_TEXT","Q10_6_TEXT","Q10_8_TEXT","Q11","Q12","Q13","Q14","Q14_6_TEXT","Q15","Q16","BSMS11_PR","BSMS12_PR","Q95","Q102"
"2024","Spring","23906511",3.401,120,"BS","2024-03-12","2024-03-12","428","40.8123","-73.9682","10032","1999","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Not a College student","Declared (Please specify major):","Pychology",NA,"3.20","1st year undergraduate","Yes","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","german",NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Single",NA,"Less than $60,000","$201-$400",NA,"$150,001 to $299,999","dktgfcjyhvlu","lfvliv;ivb"
"2024","Spring","24151021",3.88,174,"BE","2024-03-13","2024-03-13","1319","40.7513","-73.8244","11355","1996","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Electrical Engineering",NA,"0","3rd year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Chinese",NA,NA,NA,"Yes","Yes","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","social status is the importance or contribution for the society","movement of social status "
"2024","Spring","24151021",3.88,174,"BE","2024-03-13","2024-03-13","1009","40.7513","-73.8244","11355","1996","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Electrical Engineering",NA,"0","3rd year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Chinese",NA,NA,NA,"Yes","Yes","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","importance of you in the society ","movement of social status"
"2024","Spring","24058480",3.723,168,"BA","2024-03-13","2024-03-13","1211","40.8123","-73.9682","11360","2002","Female",NA,"Gender queer","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology and Creative Writing",NA,"3.5","4th year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","German, Italian, Russian Jew, Scandinavian, Spanish",NA,NA,NA,NA,NA,NA,"No","No","No","Single",NA,"$100,000 to $150,000","$200 or less",NA,"$60,000 to $99,999","My power, perception, and standing in society","My ability to improve or lessen my “worth” according to our society "
"2024","Spring","24058754",3.977,130,"BA/MA","2024-03-13","2024-03-13","1212","40.8123","-73.9682","11232","2002","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.973","4th year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","Italian ",NA,NA,NA,NA,NA,NA,"No","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"$100,000 to $150,000","Social status is the position in society. I most relate this to class in my head. ","Social mobility is the ability to change class (upward mobility)"
"2024","Spring","23644150",3.203,186,"BS","2024-03-13","2024-03-13","1828","40.8123","-73.9682","11385","1999","Female",NA,"Female","Asexual",NA,"Part-time (Fewer than 12 credits)","Declared (Please specify major):","Post bacc biology major ",NA,"3.440","6th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Puerto Rican",NA,NA,NA,NA,"Yes","No","No","Separated",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","Position that one holds within the society ","Ability of individuals to move up or down in the hierarchy "
"2024","Spring","23740788",2.96,159.5,"BS","2024-03-13","2024-03-13","3376","40.7123","-74.0068","11355","2001","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Behavioral Science & Health and Medicine (CUNYBA) ",NA,"3.10","4th year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Pakistani ",NA,NA,NA,"Yes","No","No","Single",NA,"$100,000 to $150,000","$200 or less",NA,"$150,001 to $299,999","The connections you are capable of possessing and how others view you in society based on ‘who you are’","How possible it is to ‘climb up the social ladder’"
"2024","Spring","14095746",2.879,98,"BS","2024-03-14","2024-03-14","1299","40.8477","-73.8418","10467","1988","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Part-time (Fewer than 12 credits)","Undeclared (Please specify intended major):",NA,"Education ","3.6","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Dominican ",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$601-$800",NA,"$150,001 to $299,999","The level of wealth, success, social group you’re in.","Easily accessible "
"2024","Spring","24206442",2.847,116,"BA","2024-03-14","2024-03-14","1380","40.8123","-73.9682","11421","2003","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"1.9","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Peruvian",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"Less than 60,000","Popularity","The ability to socialize wherever you go"
"2024","Spring","24038137",3.885,123,"BA","2024-03-14","2024-03-15","28780","40.8691","-73.9191","10034","2001","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Economics",NA,"3.87","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Hispanic",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$100,000 to $150,000","Your wealth and the amount of people that look up to you/respect you for certain attributes","Being able to move around the social hierarchy "
"2024","Spring","16048143",3.792,125,"BA/MA","2024-03-15","2024-03-15","3898","40.8231","-73.9513","10002","1985","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.97","2nd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Puerto Rican ",NA,NA,NA,NA,"Yes","Yes","No","Single",NA,"Less than $60,000","$601-$800",NA,"$100,000 to $150,000","I don’t know","Social class"
