"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","SACQ_total","SACQ_PE","SACQ_IA","SACQ_A","SACQ_S","AMS_total","AMS_E","AMS_I","AMS_A","BSMS_G","BSMS_PE"
"2024","Fall","12057307",2.928,121,"BA",202,35,60,72,58,85,42,39,4,19,5
"2024","Fall","14243726",3.354,164,"BS",188,35,47,78,41,124,60,60,4,24,10
"2024","Fall","23262772",3.903,120,"BA",244,52,61,99,58,107,47,56,4,27,4
"2024","Fall","23490894",2.971,115,"BS",229,50,55,83,61,91,45,41,5,24,6
"2024","Fall","23629886",3.433,9,"BA",203,42,45,85,50,73,40,26,7,24,8
"2024","Fall","23719032",2.758,113,"BA",186,32,47,71,54,106,48,45,13,24,6
"2024","Fall","23760247",3.426,120,"BA",273,67,62,101,66,115,60,51,4,24,10
"2024","Fall","23790458",3.085,114,"BS",217,55,47,80,48,102,48,47,7,24,6
"2024","Fall","23805195",3.596,120,"BA",222,48,54,86,52,87,50,32,5,23,9
"2024","Fall","23911725",2.495,130,"BS",219,47,50,82,61,112,50,50,12,28,6
"2024","Fall","23944631",3.453,136,"BA/MA",239,46,56,97,57,107,58,45,4,25,8
"2024","Fall","23956988",2.664,120,"BA",203,42,54,77,48,103,57,42,4,24,6
"2024","Fall","23964685",2.663,122,"BA",223,62,46,83,47,104,56,44,4,23,10
"2024","Fall","23965625",3.533,120,"BS",148,35,32,64,29,102,48,41,13,29,9
"2024","Fall","23980174",3.302,120,"BA",190,40,43,72,58,104,44,45,15,27,6
"2024","Fall","24001409",3.038,126,"BS",192,43,46,70,49,107,48,47,12,26,7
"2024","Fall","24017889",3.34,122,"BS",160,37,36,50,50,99,52,35,12,24,6
"2024","Fall","24020747",2.3,72,"BA",191,52.5,45,62,48,85.5,37.5,33.5,14.5,21,3
"2024","Fall","24024695",3.54,31,"BE",186,50,44,65,43,91,43,40,8,26,8
"2024","Fall","24044589",3.228,121,"BS",213,47,49,86,49,101,58,39,4,23,6
