AY,semester,emplid_ID,social_status_def,social_mobility_def,social_status_score,social_mobility_score
2024,Spring,23906511,dktgfcjyhvlu,lfvliv;ivb,0.11110360932501101,0.07761428391525589
2024,Spring,24151021,social status is the importance or contribution for the society,movement of social status ,0.6996030905889812,0.6667644306245736
2024,Spring,24151021,importance of you in the society ,movement of social status,0.45005653461297057,0.6667644306245736
2024,Spring,24058480,"My power, perception, and standing in society",My ability to improve or lessen my “worth” according to our society ,0.43985103118951974,0.39127702898569294
2024,Spring,24058754,Social status is the position in society. I most relate this to class in my head. ,Social mobility is the ability to change class (upward mobility),0.7091867053768985,0.7330150315212551
2024,Spring,23644150,Position that one holds within the society ,Ability of individuals to move up or down in the hierarchy ,0.5493036721998041,0.4253458352904073
2024,Spring,23740788,The connections you are capable of possessing and how others view you in society based on ‘who you are’,How possible it is to ‘climb up the social ladder’,0.46150635393004436,0.5100757801579776
2024,Spring,14095746,"The level of wealth, success, social group you’re in.",Easily accessible ,0.4872986231806316,0.15534751362406418
2024,Spring,24206442,Popularity,The ability to socialize wherever you go,0.3563083366766765,0.3891999994569605
2024,Spring,24038137,Your wealth and the amount of people that look up to you/respect you for certain attributes,Being able to move around the social hierarchy ,0.4694998169205539,0.5589266847982478
2024,Spring,16048143,I don’t know,Social class,0.10579671151111233,0.5233054353227536
2024,Spring,23872268,The ability to exist and hold valuable assets and positions in a social hierarchy.,The ability to move and how well you move in social class.,0.5312176470889098,0.5361349750239391
2024,Spring,24212435,Defined by the way people perceive you based on the qualities you have,The ability to change your social status ,0.4101776090057685,0.46875340241726093
2024,Spring,23844633,"Social status, for me, refers to your economic status along with the level of recognition you have within your field of work ",Social mobility refers to a person's ability to move up within society/climb the social laterresulting in experiencing an improvement in their social status ,0.7311445465549952,0.7460670364380676
2024,Spring,24010924,social mobidlity- socioeconomic status ,ability to move up and down the socioeconomic ladder,0.5956683918062142,0.5871329386594333
2024,Spring,23407957,amount of income,ability to change the social status of a person ,0.21584208034085442,0.5141725663902798
2024,Spring,24161789,Status based on Level of achievements ,"Being active in social setting, events , with people ",0.4718346368320754,0.36693121389174843
2024,Spring,24105404,unfair,fluid,0.15303603348286887,0.09004392179625176
2024,Spring,24136888,mainly affiliated with income and earnings,being able to move between economic class,0.3131157394297888,0.6200144489460773
2024,Spring,24275553,Income levels and professions,Ability to shift one’s social status to another,0.39491287462147984,0.5691954832687449
2024,Spring,24184079,Where you place in Society.  ,Don’t know,0.5285155435531451,0.07104848216526909
2024,Spring,24405762,knowing there's people whose popular and whose not based on what they do ,moving in a higher position in your career ,0.39748261688073416,0.3400840219273638
2024,Spring,24308217,Socioeconomic ,Upward avility,0.5314219118371799,0.230384781800739
2024,Spring,24130631,"Social status depends on how well your liked within your community. You’re being ranked on your education, job, salary, assets, and etc. ",Social mobility is the way in which you move up the social ladder. Sort of like a child moving from the children’s table to eat lunch to the adult table. Or wen children who have grown up stop holing themselves in their rooms and instead come to join the family function.,0.6855290955171114,0.7846387905536234
2024,Spring,24108457,ones place on the social ladder and society ,The ability to move through the social ladder,0.622480572403915,0.5805559616699291
2024,Spring,24264044,Social status can be define as how standard your job/career is. ,"change in a person's socio-economic situation, either in relation to their parents ",0.7107953237514248,0.4935830626565952
2024,Spring,24040291,Power and influence you have in society,Movement of people and their power in society,0.49073522139127906,0.5443136643781733
2024,Spring,24251712,"Your job determines how you are viewed by society, if you are smart, accomplished a lot in life and determines how people will usually treat you.",Your social-economic situation can change a lot if you put the effort and mindset to change it. It can either go up or down.,0.38740371168173166,0.5000972139484658
2024,Spring,23141159,Social status is your position in the society. How people of the society perceive you and what range of influence you have on people due to their perception. ,change of social status,0.7440134189728931,0.5255982264104775
2024,Spring,24450488,"social status is how you are defined based on income, education, work",Social mobility is being able to move either up or down the social ladder. ,0.6923143301088353,0.7435697679652221
2024,Spring,23789014,Where one stands in the cultural hierarchy of their peers.,The ability to move up in that hierarchy ,0.548750554923946,0.3856680926098895
2024,Spring,24051319,The class someone is born into,The class you can work your way into ,0.40981092860777873,0.2824305925681662
2024,Spring,23943536,A persons importance compared to other people ,Due to your social status you can either move up or down ,0.46460713047321495,0.4633587468344707
2024,Spring,24023890,A rank or position that someone holds in society or in a group ,Someone improving their social status ,0.5649752166660621,0.4460840513437106
2024,Spring,24012694,Social class is how id define it,Ability to change social standing,0.5699490864926166,0.476728135856898
2024,Spring,24130675,The status to which a person holds in a given society. Mainly surrounding job role and income in a capitalist society,The ability to move up in in society,0.6148128508982492,0.5022897508158756
