"","sex","age","student","employed","sleep","courses","studying","gpa","attend","cigarett","coffee","soda","tv","alcohol","dogs","cats","parents","sexual","condoms","accident","speed","physical","intellig","money","car","stress","relaxed","worry","notblue","disturbe","upset","mood","swings","irritate","blue","intell.","money.","car.","stress.","relax.","worry.","notblue.","disturb.","upset.","mood.","swings.","irritat.","blue.","attend.","condom.","speed.","neur","drink"
"1","      ",18,"Full-time","Not employed",6,4,9,2.5,"Always   ",0,0,12,6,0,0,0,"No ","No ","         ",0,"Never    ",4,"Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral","Neutral","Often","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Always",NA,"Never",24,"No"
"2","Female",20,"Full-time","Part-time   ",8,5,4,2.5,"Always   ",0,0,0,5,6,0,1,"No ","Yes","Always   ",1,"Always   ",0,"Disagree         ","Neutral          ","Disagree         ","Agree            ","Agree            ","Agree            ","Strongly Disagree","Disagree         ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Agree            ","Disagree","Neutral","Disagree","Often","Disagree","Often","Always","Disagree","Disagree","Often","Disagree","Disagree","Often","Always","Always","Always",31,"Yes"
"3","Female",19,"Full-time","Part-time   ",4,5,7,3,"Always   ",0,3,1,4,0,0,1,"Yes","No ","         ",1,"Often    ",5,"Agree            ","Neutral          ","Neutral          ","Strongly Agree   ","Neutral          ","Strongly Agree   ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Often","Neutral","Neutral","Always","Neutral","Always","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Often","Always",NA,"Often",34,"No"
"4","Female",19,"Full-time","Full-time   ",2,7,20,3.8,"Sometimes",0,0,0,2,0,0,0,"Yes","No ","         ",1,"Often    ",6,"Neutral          ","Neutral          ","Agree            ","Agree            ","Neutral          ","Strongly Agree   ","Agree            ","Disagree         ","Agree            ","Disagree         ","Strongly Disagree","Agree            ","Disagree         ","Neutral","Neutral","Often","Often","Neutral","Always","Disagree","Disagree","Often","Disagree","Strongly Disagree","Often","Disagree","Sometims",NA,"Often",29,"No"
"5","Female",20,"Full-time","Full-time   ",4,4,13.5,3,"Always   ",4,0,8,4,0,1,0,"Yes","   ","Always   ",2,"Sometimes",1,"Agree            ","Agree            ","Strongly Agree   ","Disagree         ","Agree            ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Strongly Disagree","Strongly Disagree","Disagree         ","Often","Often","Always","Disagree","Disagree","Often","Often","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Always","Always","Sometims",22,"No"
"6","Female",34,"Full-time","Part-time   ",8,4,11,3,"Always   ",0,0,0,6,0,1,8,"No ","Yes","Often    ",1,"Rarely   ",6,"Agree            ","Strongly Agree   ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Neutral          ","Agree            ","Strongly Disagree","Strongly Disagree","Disagree         ","Disagree         ","Strongly Disagree","Disagree         ","Often","Always","Always","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Always","Often","Rarely",16,"No"
"7","Female",26,"Full-time","Not employed",8,4,25,2.75,"Always   ",0,0,12,12,0,3,3,"Yes","No ","         ",0,"Never    ",2,"Strongly Agree   ","Neutral          ","Disagree         ","Agree            ","Agree            ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Agree            ","Agree            ","Always","Neutral","Disagree","Often","Disagree","Often","Often","Neutral","Disagree","Often","Neutral","Often","Often","Always",NA,"Never",34,"No"
"8","Female",21,"Full-time","Not employed",7,6,30,3,"Always   ",2,2,2,5,20,0,0,"Yes","Yes","Never    ",4,"Often    ",0,"Strongly Agree   ","Agree            ","Strongly Disagree","Strongly Agree   ","Neutral          ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Agree            ","Agree            ","Disagree         ","Neutral          ","Always","Often","Strongly Disagree","Always","Neutral","Often","Often","Neutral","Disagree","Often","Often","Disagree","Neutral","Always","Never","Often",34,"Yes"
"9","Female",22,"Full-time","Part-time   ",8,5,7.5,2,"Always   ",0,0,1,3,2,0,0,"No ","Yes","Always   ",1,"Sometimes",6,"Agree            ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Neutral          ","Disagree         ","Neutral          ","Disagree         ","Often","Neutral","Disagree","Neutral","Neutral","Often","Often","Often","Often","Neutral","Disagree","Neutral","Disagree","Always","Always","Sometims",32,"Yes"
"10","Female",20,"Full-time","Full-time   ",8,4,10,3,"Always   ",0,0,0,3,3,0,0,"No ","Yes","Never    ",3,"Sometimes",20,"Strongly Agree   ","Neutral          ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Always","Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Never","Sometims",21,"Yes"
"11","Female",19,"Full-time","Part-time   ",2,6,6,4,"Always   ",0,0,2,30,0,0,0,"No ","No ","         ",2,"Often    ",4,"Agree            ","Disagree         ","Neutral          ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Disagree         ","Agree            ","Strongly Agree   ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Disagree","Neutral","Always","Always","Always","Often","Often","Always","Often","Often","Often","Often","Always",NA,"Often",44,"No"
"12","Female",18,"Full-time","Full-time   ",8,4,2,3,"Often    ",0,1,3,4,0.5,2,0,"Yes","Yes","Often    ",0,"Often    ",4,"Disagree         ","Agree            ","Neutral          ","Agree            ","Neutral          ","Agree            ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Agree            ","Disagree","Often","Neutral","Often","Neutral","Often","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Often","Often","Often","Often",30,"Yes"
"13","Female",19,"Full-time","Not employed",4,6,2,3,"Sometimes",10,2,10,1,0,0,1,"Yes","Yes","Always   ",0,"Often    ",8,"Agree            ","Disagree         ","Agree            ","Strongly Disagree","Agree            ","Agree            ","Strongly Disagree","Strongly Disagree","Disagree         ","Disagree         ","Strongly Disagree","Disagree         ","Strongly Agree   ","Often","Disagree","Often","Strongly Disagree","Disagree","Often","Always","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Always","Sometims","Always","Often",25,"No"
"14","Female",19,"Full-time","Not employed",4,5,4,3,"Often    ",0,0,0,6,4,5,0,"No ","Yes","Often    ",1,"Rarely   ",3.5,"Agree            ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Disagree","Neutral","Disagree","Often","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Often","Often","Rarely",27,"Yes"
