User Unique ID,Training Title,Training Locator Number,Reactionnaire Question,Question ID,Question User Response
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,"Prior to today, I knew how this learning program was intended to impact my job performance.",4454,Agree
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,"The instructional aids (forms, case scenarios, etc.) are very similar to real things I use on the job.",4472,Strongly Agree
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,How satisfied are you with the Workforce Institute registration notifications and reminders?,4484,Extremely Satisfied
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,Which other training topics or learning methods would support your job performance?,4526,
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,I felt comfortable using the video conferencing platform to participate in this learning program.,5011,Strongly Agree
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,"INSTRUCTOR.NAME maintained an effective pace through the agenda (discussion, activities, breaks, etc.).",5163,Strongly Agree
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,INSTRUCTOR.NAME provided clear explanations of new concepts,5169,Strongly Agree
fe86deb2-1ddc-4155-9359-1da37ce2c359,Understanding and Undoing Implicit Bias (Virtual ILT),12406,How satisfied are you with the online interaction you had with the facilitators?,5315,Extremely Satisfied
cf138800-afc2-4268-a55d-231774ca4a06,Understanding and Undoing Implicit Bias (Virtual ILT),12406,"Prior to today, I knew how this learning program was intended to impact my job performance.",4454,Strongly Agree
cf138800-afc2-4268-a55d-231774ca4a06,Understanding and Undoing Implicit Bias (Virtual ILT),12406,The skills practice activities showed me how to use this learning on the job.,4460,Strongly Agree
cf138800-afc2-4268-a55d-231774ca4a06,Understanding and Undoing Implicit Bias (Virtual ILT),12406,I believe this learning program will help me do my current job better.,4478,Strongly Agree
cf138800-afc2-4268-a55d-231774ca4a06,Understanding and Undoing Implicit Bias (Virtual ILT),12406,How satisfied are you with the Workforce Institute registration notifications and reminders?,4484,Extremely Satisfied
