SUBNUM,INATTENTIVE,TIKTOK,NeutralBaseline,NeutralFiltering,EmotionBaseline,EmotionFiltering
Sub09 ,Low,LOW,0.59405,0.619565,0.579718,0.7430263333
Sub11 ,Low,LOW,0.993934,1.089281333,0.960204,1.011252
Sub15 ,Low,LOW,0.505124,0.6758773333,0.495557,0.642616
Sub24 ,Low,LOW,0.595074,0.715486,0.628943,0.7603353333
Sub26 ,Low,LOW,0.834652,0.838688,0.899201,0.882983
Sub32 ,Low,LOW,0.555967,0.7504866667,0.558885,0.7275466667
Sub42 ,Low,LOW,0.519491,0.613558,0.52162,0.616624
Sub43 ,Low,LOW,0.690112,0.8461926667,0.711578,0.8928946667
Sub44 ,Low,LOW,0.488889,0.523892,0.465972,0.5155296667
Sub48 ,Low,LOW,0.482329,0.5066786667,0.489301,0.5264436667
Sub04 ,High,LOW,0.524041,0.5684586667,0.526654,0.552441
Sub10 ,High,LOW,0.509529,0.5680926667,0.517178,0.611228
Sub21 ,High,LOW,0.57968,0.6184233333,0.585664,0.6346756667
Sub33 ,High,LOW,0.564751,0.587099,0.554607,0.6125816667
Sub30 ,High,LOW,0.486607,0.538858,0.475189,0.5090463333
Sub39 ,High,LOW,0.549859,0.6391803333,0.54918,0.6130063333
Sub41 ,High,LOW,0.504938,0.6398956667,0.561577,0.549302
Sub47 ,High,LOW,0.545354,0.6842776667,0.549715,0.6299153333
Sub49 ,High,LOW,0.701681,0.7779783333,0.687294,0.7518863333
Sub50 ,High,LOW,0.595353,0.736484,0.621344,0.737395
Sub05 ,Low,HIGH,0.564234,0.621052,0.594973,0.6127436667
Sub08 ,Low,HIGH,0.520246,0.6042623333,0.522752,0.5986113333
Sub13 ,Low,HIGH,0.764547,0.9547073333,0.768254,0.9790336667
Sub14 ,Low,HIGH,0.495539,0.675409,0.489077,0.6521773333
Sub20 ,Low,HIGH,0.523385,0.757827,0.509804,0.6967653333
Sub31 ,Low,HIGH,0.423565,0.618175,0.429373,0.6082243333
Sub34 ,Low,HIGH,0.547357,0.6804093333,0.573435,0.7693513333
Sub37 ,Low,HIGH,0.492582,0.660179,0.511737,0.695374
Sub45 ,Low,HIGH,0.506379,0.6732393333,0.489183,0.7044573333
Sub51 ,Low,HIGH,0.464387,0.6187176667,0.489629,0.6109633333
Sub06 ,High,HIGH,0.479951,0.6363393333,0.538249,0.6692673333
Sub07 ,High,HIGH,0.38767,0.580539,0.384912,0.5722643333
Sub17 ,High,HIGH,0.709446,0.9073123333,0.826655,0.9497186667
Sub18 ,High,HIGH,0.509338,0.6470573333,0.528204,0.6445763333
Sub19 ,High,HIGH,0.530835,0.6867313333,0.519089,0.6576483333
Sub27 ,High,HIGH,0.514644,0.561519,0.506412,0.555839
Sub35 ,High,HIGH,0.618021,0.7022113333,0.637977,0.7014693333
Sub36 ,High,HIGH,0.692197,0.721058,0.665591,0.7110636667
Sub38 ,High,HIGH,0.467515,0.578118,0.468665,0.5877086667
Sub40 ,High,HIGH,0.537259,0.6244136667,0.515901,0.6088236667
