SUBNUM,INATTENTIVE,TIKTOK,Neutral,Emotion
Sub09 ,Low,LOW,0.025515,0.1633083333
Sub11 ,Low,LOW,0.09534733333,0.051048
Sub15 ,Low,LOW,0.1707533333,0.147059
Sub24 ,Low,LOW,0.120412,0.1313923333
Sub26 ,Low,LOW,0.004036,-0.016218
Sub32 ,Low,LOW,0.1945196667,0.1686616667
Sub42 ,Low,LOW,0.094067,0.095004
Sub43 ,Low,LOW,0.1560806667,0.1813166667
Sub44 ,Low,LOW,0.035003,0.04955766667
Sub48 ,Low,LOW,0.02434966667,0.03714266667
Sub04 ,High,LOW,0.04441766667,0.025787
Sub10 ,High,LOW,0.05856366667,0.09405
Sub21 ,High,LOW,0.03874333333,0.04901166667
Sub33 ,High,LOW,0.022348,0.05797466667
Sub30 ,High,LOW,0.052251,0.03385733333
Sub39 ,High,LOW,0.08932133333,0.06382633333
Sub41 ,High,LOW,0.1349576667,-0.012275
Sub47 ,High,LOW,0.1389236667,0.08020033333
Sub49 ,High,LOW,0.07629733333,0.06459233333
Sub50 ,High,LOW,0.141131,0.116051
Sub05 ,Low,HIGH,0.056818,0.01777066667
Sub08 ,Low,HIGH,0.08401633333,0.07585933333
Sub13 ,Low,HIGH,0.1901603333,0.2107796667
Sub14 ,Low,HIGH,0.17987,0.1631003333
Sub20 ,Low,HIGH,0.234442,0.1869613333
Sub31 ,Low,HIGH,0.19461,0.1788513333
Sub34 ,Low,HIGH,0.1330523333,0.1959163333
Sub37 ,Low,HIGH,0.167597,0.183637
Sub45 ,Low,HIGH,0.1668603333,0.2152743333
Sub51 ,Low,HIGH,0.1543306667,0.1213343333
Sub06 ,High,HIGH,0.1563883333,0.1310183333
Sub07 ,High,HIGH,0.192869,0.1873523333
Sub17 ,High,HIGH,0.1978663333,0.1230636667
Sub18 ,High,HIGH,0.1377193333,0.1163723333
Sub19 ,High,HIGH,0.1558963333,0.1385593333
Sub27 ,High,HIGH,0.046875,0.049427
Sub35 ,High,HIGH,0.08419033333,0.06349233333
Sub36 ,High,HIGH,0.028861,0.04547266667
Sub38 ,High,HIGH,0.110603,0.1190436667
Sub40 ,High,HIGH,0.08715466667,0.09292266667
