SUBNUM,TIKTOK,INATTENTIVE,BaseNeutE1,BaseNeutE2,BaseNeutE3,BaseNeutE4,BaseNeutE5,BaseNeutE6,NeutralNeutE1,NeutralNeutE2,NeutralNeutE3,NeutralNeutE4,NeutralNeutE5,NeutralNeutE6,BaseNegE1,BaseNegE2,BaseNegE3,BaseNegE4,BaseNegE5,BaseNegE6,NeutralNegE1,NeutralNegE2,NeutralNegE3,NeutralNegE4,NeutralNegE5,NeutralNegE6
Sub09 ,LOW,Low,-1.10005,-1.306534,-0.744866,-1.24948,-0.549493,-1.273986,-1.287585,-1.238199,-1.139634,-1.081279,-1.116928,-0.868043,-1.090977,-1.275232,-0.763888,-1.202209,-0.601658,-1.528049,-0.891032,-1.156861,-0.65344,-1.174422,-0.604098,-1.91518
Sub11 ,LOW,Low,-1.2437,-1.327756,-1.143622,-1.384876,-1.07441,-1.05161,-1.326707,-1.339063,-1.234219,-1.401496,-1.145746,-1.352258,-1.39364,-1.402267,-1.28501,-1.45855,-1.163283,-1.428445,-1.324238,-1.377609,-1.218144,-1.427236,-1.11232,-1.412698
Sub15 ,LOW,Low,-1.201444,-1.256498,-1.184926,-1.266213,-1.162424,-1.082275,-1.159068,-1.166413,-1.197127,-1.174971,-1.146768,-1.198247,-1.217006,-1.212601,-1.226849,-1.214462,-1.113982,-1.215229,-1.322165,-1.33128,-1.329135,-1.379944,-1.285805,-1.396183
Sub24 ,LOW,Low,-2.031107,-2.083592,-2.023103,-2.101909,-2.062884,-1.983908,-1.814542,-1.822522,-1.815668,-1.828226,-1.819818,-1.82874,-1.646735,-1.63813,-1.636596,-1.656177,-1.627537,-1.593895,-1.757589,-1.776263,-1.747301,-1.78568,-1.754298,-1.769211
Sub26 ,LOW,Low,-2.096115,-2.179962,-2.053955,-2.222992,-2.133944,-2.035496,-1.513995,-1.563677,-1.346788,-1.464303,-1.451759,-1.380042,-1.509761,-1.469155,-1.475633,-1.549961,-1.389761,-1.507506,-1.705267,-1.714627,-1.65131,-1.691884,-1.684198,-1.692979
Sub32 ,LOW,Low,-1.679059,-1.664762,-1.717757,-1.780579,-1.787522,-1.53357,-1.779839,-1.751643,-1.811806,-1.770596,-1.792669,-1.717529,-1.544321,-1.520475,-1.48965,-1.5414,-1.425437,-1.462304,-1.638111,-1.573746,-1.703586,-1.719432,-1.705847,-1.653049
Sub42 ,LOW,Low,-1.510583,-1.653013,-1.526615,-1.519592,-1.493333,-1.394306,-1.516327,-1.594322,-1.466477,-1.378208,-1.429773,-1.27123,-1.466057,-1.53489,-1.460222,-1.374469,-1.488087,-1.28182,-1.586993,-1.491734,-1.563451,-1.120853,-1.546857,-1.072062
Sub43 ,LOW,Low,-1.690161,-1.675606,-1.594212,-1.622666,-1.539181,-1.55252,-1.794406,-1.806829,-1.731366,-1.759647,-1.673817,-1.650478,-1.593051,-1.630904,-1.531179,-1.56746,-1.513083,-1.505987,-1.803125,-1.78087,-1.721088,-1.703231,-1.67349,-1.620405
Sub44 ,LOW,Low,-1.955152,-2.115324,-2.136254,-2.094282,-2.053645,-2.032765,-1.817889,-2.079045,-2.133742,-2.151971,-2.061175,-2.107946,-1.910562,-2.144236,-2.136255,-2.141217,-2.00886,-2.131789,-1.966807,-2.025125,-2.071179,-2.031388,-1.979309,-2.022306
Sub48 ,LOW,Low,-1.698439,-1.823498,-1.808986,-1.821941,-1.56808,-1.579192,-1.570383,-1.788352,-1.573087,-1.339918,-1.557423,-1.231356,-1.548526,-1.692737,-1.659428,-1.678303,-1.497784,-1.496358,-1.808416,-1.900349,-2.00773,-1.934694,-1.804302,-1.753496
Sub04 ,LOW,High,-1.398861,-1.44249,-1.481033,-1.483515,-1.442725,-1.460839,-1.475677,-1.541389,-1.596242,-1.559755,-1.581441,-1.490004,-1.478737,-1.603229,-1.586444,-1.601776,-1.459211,-1.505045,-1.411197,-1.362591,-1.471925,-1.393123,-1.389106,-1.403864
Sub10 ,LOW,High,-0.992356,-1.030902,-0.924352,-0.996403,-0.783433,-1.023902,-1.04097,-1.06019,-1.018619,-0.981229,-0.903084,-0.981623,-0.851326,-0.885981,-0.785549,-0.807759,-0.609596,-0.679079,-0.89893,-0.896402,-0.863841,-0.8236,-0.693485,-0.816779
