INATTENTIVE,TIKTOK,Neutral,Emotion
Low,LOW,0.025515,0.1633083333
Low,LOW,0.09534733333,0.051048
Low,LOW,0.1707533333,0.147059
Low,LOW,0.120412,0.1313923333
Low,LOW,0.004036,-0.016218
Low,LOW,0.1945196667,0.1686616667
Low,LOW,0.094067,0.095004
Low,LOW,0.1560806667,0.1813166667
Low,LOW,0.035003,0.04955766667
Low,LOW,0.02434966667,0.03714266667
High,LOW,0.04441766667,0.025787
High,LOW,0.05856366667,0.09405
High,LOW,0.03874333333,0.04901166667
High,LOW,0.022348,0.05797466667
High,LOW,0.052251,0.03385733333
High,LOW,0.08932133333,0.06382633333
High,LOW,0.1349576667,-0.012275
High,LOW,0.1389236667,0.08020033333
High,LOW,0.07629733333,0.06459233333
High,LOW,0.141131,0.116051
Low,HIGH,0.056818,0.01777066667
Low,HIGH,0.08401633333,0.07585933333
Low,HIGH,0.1901603333,0.2107796667
Low,HIGH,0.17987,0.1631003333
Low,HIGH,0.234442,0.1869613333
Low,HIGH,0.19461,0.1788513333
Low,HIGH,0.1330523333,0.1959163333
Low,HIGH,0.167597,0.183637
Low,HIGH,0.1668603333,0.2152743333
Low,HIGH,0.1543306667,0.1213343333
High,HIGH,0.1563883333,0.1310183333
High,HIGH,0.192869,0.1873523333
High,HIGH,0.1978663333,0.1230636667
High,HIGH,0.1377193333,0.1163723333
High,HIGH,0.1558963333,0.1385593333
High,HIGH,0.046875,0.049427
High,HIGH,0.08419033333,0.06349233333
High,HIGH,0.028861,0.04547266667
High,HIGH,0.110603,0.1190436667
High,HIGH,0.08715466667,0.09292266667
