TIKTOK,INATTENTIVE,CongNeutE1,CongNeutE2,CongNeutE3,CongNeutE4,CongNeutE5,CongNeutE6,NeutralNeutE1,NeutralNeutE2,NeutralNeutE3,NeutralNeutE4,NeutralNeutE5,NeutralNeutE6,IncongNeutE1,IncongNeutE2,IncongNeutE3,IncongNeutE4,IncongNeutE5,IncongNeutE6,CongNegE1,CongNegE2,CongNegE3,CongNegE4,CongNegE5,CongNegE6,NeutralNegE1,NeutralNegE2,NeutralNegE3,NeutralNegE4,NeutralNegE5,NeutralNegE6,IncongNegE1,IncongNegE2,IncongNegE3,IncongNegE4,IncongNegE5,IncongNegE6
LOW,Low,-0.783413,-0.999361,-0.578295,-0.917174,-0.635368,-1.993,-1.287585,-1.238199,-1.139634,-1.081279,-1.116928,-0.868043,-1.174457,-1.218108,-0.945275,-1.064223,-0.815996,-1.994098,-1.041528,-1.223197,-0.749554,-1.220802,-0.61391,-1.055503,-0.891032,-1.156861,-0.65344,-1.174422,-0.604098,-1.91518,-1.088801,-1.239071,-0.810113,-1.213579,-0.683235,-2.1934
LOW,Low,-1.365645,-1.3691,-1.282347,-1.429575,-1.16508,-1.371023,-1.326707,-1.339063,-1.234219,-1.401496,-1.145746,-1.352258,-1.342276,-1.351301,-1.257775,-1.410065,-1.198191,-1.363019,-1.332333,-1.390339,-1.221119,-1.420883,-1.142539,-1.423076,-1.324238,-1.377609,-1.218144,-1.427236,-1.11232,-1.412698,-1.361339,-1.412272,-1.254252,-1.447069,-1.18544,-1.50851
LOW,Low,-1.211815,-1.219492,-1.208522,-1.225781,-1.154696,-1.22268,-1.159068,-1.166413,-1.197127,-1.174971,-1.146768,-1.198247,-1.175804,-1.180833,-1.176617,-1.186015,-1.150757,-1.208163,-1.311318,-1.339871,-1.294454,-1.35672,-1.238159,-1.368804,-1.322165,-1.33128,-1.329135,-1.379944,-1.285805,-1.396183,-1.316175,-1.320206,-1.321481,-1.343195,-1.270253,-1.420405
LOW,Low,-2.11777,-2.133583,-2.097326,-2.147146,-2.137774,-2.145378,-1.814542,-1.822522,-1.815668,-1.828226,-1.819818,-1.82874,-1.769561,-1.781902,-1.741831,-1.794306,-1.781482,-1.789313,-1.679355,-1.69891,-1.657778,-1.710172,-1.675692,-1.705514,-1.757589,-1.776263,-1.747301,-1.78568,-1.754298,-1.769211,-1.670033,-1.685249,-1.661416,-1.689549,-1.664832,-1.67632
LOW,Low,-1.60461,-1.649695,-1.468436,-1.671644,-1.579123,-1.632591,-1.513995,-1.563677,-1.346788,-1.464303,-1.451759,-1.380042,-1.610382,-1.661861,-1.457008,-1.684124,-1.580889,-1.66302,-1.169537,-1.237068,-0.987561,-1.31377,-1.071386,-1.113241,-1.705267,-1.714627,-1.65131,-1.691884,-1.684198,-1.692979,-1.604094,-1.665586,-1.513992,-1.918579,-1.577226,-1.659735
LOW,Low,-1.589505,-1.553647,-1.557501,-1.577159,-1.592213,-1.510916,-1.779839,-1.751643,-1.811806,-1.770596,-1.792669,-1.717529,-1.575868,-1.541562,-1.574147,-1.565968,-1.620819,-1.489092,-1.511125,-1.401052,-1.552631,-1.618355,-1.563521,-1.542785,-1.638111,-1.573746,-1.703586,-1.719432,-1.705847,-1.653049,-1.65052,-1.570223,-1.697194,-1.710863,-1.698016,-1.648372
LOW,Low,-1.516992,-1.476713,-1.435414,-1.180637,-1.416908,-1.090334,-1.516327,-1.594322,-1.466477,-1.378208,-1.429773,-1.27123,-1.541222,-1.589018,-1.491568,-1.352766,-1.462664,-1.274887,-1.609254,-1.705283,-1.560482,-1.568015,-1.593527,-1.48868,-1.586993,-1.491734,-1.563451,-1.120853,-1.546857,-1.072062,-1.576472,-1.682125,-1.530129,-1.590714,-1.535294,-1.488739
LOW,Low,-1.758365,-1.759859,-1.671454,-1.739887,-1.628676,-1.668623,-1.794406,-1.806829,-1.731366,-1.759647,-1.673817,-1.650478,-1.809994,-1.801978,-1.729148,-1.752027,-1.672639,-1.667087,-1.776049,-1.781165,-1.689381,-1.740235,-1.663163,-1.688634,-1.803125,-1.78087,-1.721088,-1.703231,-1.67349,-1.620405,-1.752745,-1.756836,-1.667973,-1.716896,-1.626546,-1.663879
LOW,Low,-1.88969,-2.149125,-2.079734,-2.125234,-1.934971,-2.083919,-1.817889,-2.079045,-2.133742,-2.151971,-2.061175,-2.107946,-1.868636,-2.137492,-2.12536,-2.159863,-2.049766,-2.142663,-1.922119,-1.997921,-2.044502,-2.055585,-2.045646,-2.052164,-1.966807,-2.025125,-2.071179,-2.031388,-1.979309,-2.022306,-1.93766,-1.962458,-1.980916,-1.920301,-1.744922,-1.863973
LOW,Low,-1.580261,-1.567695,-1.592156,-1.352727,-1.529345,-1.321269,-1.570383,-1.788352,-1.573087,-1.339918,-1.557423,-1.231356,-1.461327,-1.483249,-1.463574,-1.294523,-1.288696,-1.113285,-1.596881,-1.61888,-1.610766,-1.57576,-1.549788,-1.517526,-1.808416,-1.900349,-2.00773,-1.934694,-1.804302,-1.753496,-1.821011,-1.886512,-1.903553,-1.865231,-1.544943,-1.693593
