"TIKTOK","INATTENTIVE","CongNeutE1","CongNeutE2","CongNeutE3","CongNeutE4","CongNeutE5","CongNeutE6","IncongNeutE1","IncongNeutE2","IncongNeutE3","IncongNeutE4","IncongNeutE5","IncongNeutE6","CongNegE1","CongNegE2","CongNegE3","CongNegE4","CongNegE5","CongNegE6","IncongNegE1","IncongNegE2","IncongNegE3","IncongNegE4","IncongNegE5","IncongNegE6","NeutralNeutE1","NeutralNeutE2","NeutralNeutE3","NeutralNeutE4","NeutralNeutE5","NeutralNeutE6","NeutralNegE1","NeutralNegE2","NeutralNegE3","NeutralNegE4","NeutralNegE5","NeutralNegE6","BaseNeutE1","BaseNeutE2","BaseNeutE3","BaseNeutE4","BaseNeutE5","BaseNeutE6","BaseNegE1","BaseNegE2","BaseNegE3","BaseNegE4","BaseNegE5","BaseNegE6","CongNeut","IncongNeut","CongNeg","IncongNeg","NeutralNeut","NeutralNeg","BaseNeut","BaseNeg","CongNeut_front","IncongNeut_front","CongNeg_front","IncongNeg_front","NeutralNeut_front","NeutralNeg_front","BaseNeut_front","BaseNeg_front","CongNeut_mid","IncongNeut_mid","CongNeg_mid","IncongNeg_mid","NeutralNeut_mid","NeutralNeg_mid","BaseNeut_mid","BaseNeg_mid","CongNeut_back","IncongNeut_back","CongNeg_back","IncongNeg_back","NeutralNeut_back","NeutralNeg_back","BaseNeut_back","BaseNeg_back","CongNeut_left","IncongNeut_left","CongNeg_left","IncongNeg_left","NeutralNeut_left","NeutralNeg_left","BaseNeut_left","BaseNeg_left","CongNeut_right","IncongNeut_right","CongNeg_right","IncongNeg_right","NeutralNeut_right","NeutralNeg_right","BaseNeut_right","BaseNeg_right"
"LOW","Low",-0.783413,-0.999361,-0.578295,-0.917174,-0.635368,-1.993,-1.174457,-1.218108,-0.945275,-1.064223,-0.815996,-1.994098,-1.041528,-1.223197,-0.749554,-1.220802,-0.61391,-1.055503,-1.088801,-1.239071,-0.810113,-1.213579,-0.683235,-2.1934,-1.287585,-1.238199,-1.139634,-1.081279,-1.116928,-0.868043,-0.891032,-1.156861,-0.65344,-1.174422,-0.604098,-1.91518,-1.10005,-1.306534,-0.744866,-1.24948,-0.549493,-1.273986,-1.090977,-1.275232,-0.763888,-1.202209,-0.601658,-1.528049,-0.984435166666667,-1.20202616666667,-0.984082333333333,-1.20469983333333,-1.12194466666667,-1.06583883333333,-1.0374015,-1.07700216666667,-0.891387,-1.1962825,-1.1323625,-1.163936,-1.262892,-1.0239465,-1.203292,-1.1831045,-0.7477345,-1.004749,-0.985178,-1.011846,-1.1104565,-0.913931,-0.997173,-0.9830485,-1.314184,-1.405047,-0.8347065,-1.4383175,-0.9924855,-1.259639,-0.9117395,-1.0648535,-0.665692,-0.978576,-0.801664,-0.860716333333333,-1.18138233333333,-0.71619,-0.798136333333333,-0.818841,-0.9582675,-1.1411655,-1.2219995,-1.226325,-1.159739,-1.1656415,-1.278007,-1.2387205
"LOW","Low",-1.365645,-1.3691,-1.282347,-1.429575,-1.16508,-1.371023,-1.342276,-1.351301,-1.257775,-1.410065,-1.198191,-1.363019,-1.332333,-1.390339,-1.221119,-1.420883,-1.142539,-1.423076,-1.361339,-1.412272,-1.254252,-1.447069,-1.18544,-1.50851,-1.326707,-1.339063,-1.234219,-1.401496,-1.145746,-1.352258,-1.324238,-1.377609,-1.218144,-1.427236,-1.11232,-1.412698,-1.2437,-1.327756,-1.143622,-1.384876,-1.07441,-1.05161,-1.39364,-1.402267,-1.28501,-1.45855,-1.163283,-1.428445,-1.33046166666667,-1.32043783333333,-1.32171483333333,-1.36148033333333,-1.29991483333333,-1.31204083333333,-1.204329,-1.35519916666667,-1.3673725,-1.3467885,-1.361336,-1.3868055,-1.332885,-1.3509235,-1.285728,-1.3979535,-1.355961,-1.33392,-1.321001,-1.3506605,-1.3178575,-1.32269,-1.264249,-1.37178,-1.2680515,-1.280605,-1.2828075,-1.346975,-1.249002,-1.262509,-1.06301,-1.295864,-1.271024,-1.26608066666667,-1.231997,-1.26701033333333,-1.23555733333333,-1.218234,-1.15391066666667,-1.28064433333333,-1.3993375,-1.380683,-1.405611,-1.4296705,-1.3702795,-1.4024225,-1.356316,-1.4304085
"LOW","Low",-1.211815,-1.219492,-1.208522,-1.225781,-1.154696,-1.22268,-1.175804,-1.180833,-1.176617,-1.186015,-1.150757,-1.208163,-1.311318,-1.339871,-1.294454,-1.35672,-1.238159,-1.368804,-1.316175,-1.320206,-1.321481,-1.343195,-1.270253,-1.420405,-1.159068,-1.166413,-1.197127,-1.174971,-1.146768,-1.198247,-1.322165,-1.33128,-1.329135,-1.379944,-1.285805,-1.396183,-1.201444,-1.256498,-1.184926,-1.266213,-1.162424,-1.082275,-1.217006,-1.212601,-1.226849,-1.214462,-1.113982,-1.215229,-1.20716433333333,-1.17969816666667,-1.318221,-1.3319525,-1.17376566666667,-1.340752,-1.19229666666667,-1.2000215,-1.2156535,-1.1783185,-1.3255945,-1.3181905,-1.1627405,-1.3267225,-1.228971,-1.2148035,-1.2171515,-1.181316,-1.325587,-1.332338,-1.186049,-1.3545395,-1.2255695,-1.2206555,-1.188688,-1.17946,-1.3034815,-1.345329,-1.1725075,-1.340994,-1.1223495,-1.1646055,-1.19167766666667,-1.167726,-1.28131033333333,-1.30263633333333,-1.16765433333333,-1.31236833333333,-1.18293133333333,-1.18594566666667,-1.2226365,-1.183424,-1.3482955,-1.3317005,-1.170692,-1.355612,-1.2613555,-1.2135315
"LOW","Low",-2.11777,-2.133583,-2.097326,-2.147146,-2.137774,-2.145378,-1.769561,-1.781902,-1.741831,-1.794306,-1.781482,-1.789313,-1.679355,-1.69891,-1.657778,-1.710172,-1.675692,-1.705514,-1.670033,-1.685249,-1.661416,-1.689549,-1.664832,-1.67632,-1.814542,-1.822522,-1.815668,-1.828226,-1.819818,-1.82874,-1.757589,-1.776263,-1.747301,-1.78568,-1.754298,-1.769211,-2.031107,-2.083592,-2.023103,-2.101909,-2.062884,-1.983908,-1.646735,-1.63813,-1.636596,-1.656177,-1.627537,-1.593895,-2.1298295,-1.77639916666667,-1.6879035,-1.6745665,-1.821586,-1.765057,-2.0477505,-1.63317833333333,-2.1256765,-1.7757315,-1.6891325,-1.677641,-1.818532,-1.766926,-2.0573495,-1.6424325,-2.122236,-1.7680685,-1.683975,-1.6754825,-1.821947,-1.7664905,-2.062506,-1.6463865,-2.141576,-1.7853975,-1.690603,-1.670576,-1.824279,-1.7617545,-2.023396,-1.610716,-2.11762333333333,-1.76429133333333,-1.67094166666667,-1.665427,-1.816676,-1.75306266666667,-2.03903133333333,-1.636956,-2.1403645,-1.788104,-1.704541,-1.687399,-1.825374,-1.7809715,-2.0927505,-1.6471535
"LOW","Low",-1.60461,-1.649695,-1.468436,-1.671644,-1.579123,-1.632591,-1.610382,-1.661861,-1.457008,-1.684124,-1.580889,-1.66302,-1.169537,-1.237068,-0.987561,-1.31377,-1.071386,-1.113241,-1.604094,-1.665586,-1.513992,-1.918579,-1.577226,-1.659735,-1.513995,-1.563677,-1.346788,-1.464303,-1.451759,-1.380042,-1.705267,-1.714627,-1.65131,-1.691884,-1.684198,-1.692979,-2.096115,-2.179962,-2.053955,-2.222992,-2.133944,-2.035496,-1.509761,-1.469155,-1.475633,-1.549961,-1.389761,-1.507506,-1.6010165,-1.60954733333333,-1.1487605,-1.65653533333333,-1.45342733333333,-1.69004416666667,-2.12041066666667,-1.4836295,-1.6271525,-1.6361215,-1.2033025,-1.63484,-1.538836,-1.709947,-2.1380385,-1.489458,-1.57004,-1.570566,-1.1506655,-1.7162855,-1.4055455,-1.671597,-2.1384735,-1.512797,-1.605857,-1.6219545,-1.0923135,-1.6184805,-1.4159005,-1.6885885,-2.08472,-1.4486335,-1.550723,-1.54942633333333,-1.07616133333333,-1.565104,-1.437514,-1.68025833333333,-2.09467133333333,-1.458385,-1.6606695,-1.6729925,-1.275419,-1.7920825,-1.51399,-1.7032555,-2.201477,-1.509558
"LOW","Low",-1.589505,-1.553647,-1.557501,-1.577159,-1.592213,-1.510916,-1.575868,-1.541562,-1.574147,-1.565968,-1.620819,-1.489092,-1.511125,-1.401052,-1.552631,-1.618355,-1.563521,-1.542785,-1.65052,-1.570223,-1.697194,-1.710863,-1.698016,-1.648372,-1.779839,-1.751643,-1.811806,-1.770596,-1.792669,-1.717529,-1.638111,-1.573746,-1.703586,-1.719432,-1.705847,-1.653049,-1.679059,-1.664762,-1.717757,-1.780579,-1.787522,-1.53357,-1.544321,-1.520475,-1.48965,-1.5414,-1.425437,-1.462304,-1.56349016666667,-1.56124266666667,-1.53157816666667,-1.66253133333333,-1.77068033333333,-1.6656285,-1.69387483333333,-1.4972645,-1.571576,-1.558715,-1.4560885,-1.6103715,-1.765741,-1.6059285,-1.6719105,-1.532398,-1.56733,-1.5700575,-1.585493,-1.7040285,-1.791201,-1.711509,-1.749168,-1.515525,-1.5515645,-1.5549555,-1.553153,-1.673194,-1.755099,-1.679448,-1.660546,-1.4438705,-1.57973966666667,-1.590278,-1.54242566666667,-1.68191,-1.79477133333333,-1.68251466666667,-1.72811266666667,-1.48646933333333,-1.565403,-1.553765,-1.5097035,-1.640543,-1.7611195,-1.646589,-1.7226705,-1.5309375
"LOW","Low",-1.516992,-1.476713,-1.435414,-1.180637,-1.416908,-1.090334,-1.541222,-1.589018,-1.491568,-1.352766,-1.462664,-1.274887,-1.609254,-1.705283,-1.560482,-1.568015,-1.593527,-1.48868,-1.576472,-1.682125,-1.530129,-1.590714,-1.535294,-1.488739,-1.516327,-1.594322,-1.466477,-1.378208,-1.429773,-1.27123,-1.586993,-1.491734,-1.563451,-1.120853,-1.546857,-1.072062,-1.510583,-1.653013,-1.526615,-1.519592,-1.493333,-1.394306,-1.466057,-1.53489,-1.460222,-1.374469,-1.488087,-1.28182,-1.352833,-1.45202083333333,-1.58754016666667,-1.5672455,-1.44272283333333,-1.39699166666667,-1.51624033333333,-1.4342575,-1.4968525,-1.56512,-1.6572685,-1.6292985,-1.5553245,-1.5393635,-1.581798,-1.5004735,-1.3080255,-1.422167,-1.5642485,-1.5604215,-1.4223425,-1.342152,-1.5231035,-1.4173455,-1.253621,-1.3687755,-1.5411035,-1.5120165,-1.3505015,-1.3094595,-1.4438195,-1.3849535,-1.456438,-1.49848466666667,-1.58775433333333,-1.54729833333333,-1.470859,-1.565767,-1.510177,-1.47145533333333,-1.328675,-1.470892,-1.636649,-1.6364195,-1.486265,-1.3062935,-1.5863025,-1.4546795
"LOW","Low",-1.758365,-1.759859,-1.671454,-1.739887,-1.628676,-1.668623,-1.809994,-1.801978,-1.729148,-1.752027,-1.672639,-1.667087,-1.776049,-1.781165,-1.689381,-1.740235,-1.663163,-1.688634,-1.752745,-1.756836,-1.667973,-1.716896,-1.626546,-1.663879,-1.794406,-1.806829,-1.731366,-1.759647,-1.673817,-1.650478,-1.803125,-1.78087,-1.721088,-1.703231,-1.67349,-1.620405,-1.690161,-1.675606,-1.594212,-1.622666,-1.539181,-1.55252,-1.593051,-1.630904,-1.531179,-1.56746,-1.513083,-1.505987,-1.70447733333333,-1.73881216666667,-1.7231045,-1.69747916666667,-1.7360905,-1.71703483333333,-1.612391,-1.556944,-1.759112,-1.805986,-1.778607,-1.7547905,-1.8006175,-1.7919975,-1.6828835,-1.6119775,-1.7056705,-1.7405875,-1.714808,-1.6924345,-1.7455065,-1.7121595,-1.608439,-1.5493195,-1.6486495,-1.669863,-1.6758985,-1.6452125,-1.6621475,-1.6469475,-1.5458505,-1.509535,-1.686165,-1.73726033333333,-1.709531,-1.68242133333333,-1.73319633333333,-1.73256766666667,-1.60785133333333,-1.545771,-1.749873,-1.7770025,-1.7607,-1.736866,-1.783238,-1.7420505,-1.649136,-1.599182
"LOW","Low",-1.88969,-2.149125,-2.079734,-2.125234,-1.934971,-2.083919,-1.868636,-2.137492,-2.12536,-2.159863,-2.049766,-2.142663,-1.922119,-1.997921,-2.044502,-2.055585,-2.045646,-2.052164,-1.93766,-1.962458,-1.980916,-1.920301,-1.744922,-1.863973,-1.817889,-2.079045,-2.133742,-2.151971,-2.061175,-2.107946,-1.966807,-2.025125,-2.071179,-2.031388,-1.979309,-2.022306,-1.955152,-2.115324,-2.136254,-2.094282,-2.053645,-2.032765,-1.910562,-2.144236,-2.136255,-2.141217,-2.00886,-2.131789,-2.04377883333333,-2.08063,-2.01965616666667,-1.901705,-2.058628,-2.016019,-2.06457033333333,-2.07881983333333,-2.0194075,-2.003064,-1.96002,-1.950059,-1.948467,-1.995966,-2.035238,-2.027399,-2.102484,-2.1426115,-2.0500435,-1.9506085,-2.1428565,-2.0512835,-2.115268,-2.138736,-2.009445,-2.0962145,-2.048905,-1.8044475,-2.0845605,-2.0008075,-2.043205,-2.0703245,-1.96813166666667,-2.01458733333333,-2.004089,-1.88783266666667,-2.00426866666667,-2.005765,-2.04835033333333,-2.018559,-2.1371795,-2.1486775,-2.026753,-1.9413795,-2.115508,-2.0282565,-2.104803,-2.1427265
"LOW","Low",-1.580261,-1.567695,-1.592156,-1.352727,-1.529345,-1.321269,-1.461327,-1.483249,-1.463574,-1.294523,-1.288696,-1.113285,-1.596881,-1.61888,-1.610766,-1.57576,-1.549788,-1.517526,-1.821011,-1.886512,-1.903553,-1.865231,-1.544943,-1.693593,-1.570383,-1.788352,-1.573087,-1.339918,-1.557423,-1.231356,-1.808416,-1.900349,-2.00773,-1.934694,-1.804302,-1.753496,-1.698439,-1.823498,-1.808986,-1.821941,-1.56808,-1.579192,-1.548526,-1.692737,-1.659428,-1.678303,-1.497784,-1.496358,-1.4905755,-1.35077566666667,-1.57826683333333,-1.78580716666667,-1.5100865,-1.8681645,-1.71668933333333,-1.59552266666667,-1.573978,-1.472288,-1.6078805,-1.8537615,-1.6793675,-1.8543825,-1.7609685,-1.6206315,-1.4724415,-1.3790485,-1.593263,-1.884392,-1.4565025,-1.971212,-1.8154635,-1.6688655,-1.425307,-1.2009905,-1.533657,-1.619268,-1.3943895,-1.778899,-1.573636,-1.497071,-1.567254,-1.40453233333333,-1.58581166666667,-1.75650233333333,-1.56696433333333,-1.87348266666667,-1.691835,-1.56857933333333,-1.460211,-1.388886,-1.59732,-1.8758715,-1.564135,-1.9175215,-1.8227195,-1.68552
