weight,Diet
96,1
90,1
92,1
93,1
100,1
100,1
98,1
41,1
44,1
52,1
63,1
74,1
81,1
89,1
96,1
101,1
112,1
120,1
124,1
43,1
51,1
63,1
84,1
112,1
139,1
168,1
177,1
182,1
184,1
181,1
175,1
41,1
49,1
56,1
62,1
72,1
88,1
119,1
135,1
162,1
185,1
195,1
205,1
41,1
48,1
53,1
60,1
65,1
67,1
71,1
70,1
71,1
81,1
91,1
96,1
41,1
49,1
62,1
79,1
101,1
128,1
164,1
192,1
227,1
248,1
259,1
266,1
41,1
49,1
56,1
64,1
68,1
68,1
67,1
68,1
41,1
45,1
49,1
51,1
57,1
51,1
54,1
42,1
51,1
61,1
72,1
83,1
89,1
98,1
103,1
113,1
123,1
133,1
142,1
39,1
35,1
43,1
48,1
55,1
62,1
65,1
71,1
82,1
88,1
106,1
120,1
144,1
157,1
41,1
47,1
54,1
58,1
65,1
73,1
77,1
89,1
98,1
107,1
115,1
117,1
40,2
50,2
62,2
86,2
125,2
163,2
217,2
240,2
275,2
307,2
318,2
331,2
41,2
55,2
64,2
77,2
90,2
95,2
108,2
111,2
131,2
148,2
164,2
167,2
43,2
52,2
61,2
73,2
90,2
103,2
127,2
135,2
145,2
163,2
170,2
175,2
42,2
52,2
58,2
74,2
66,2
68,2
70,2
71,2
72,2
72,2
76,2
74,2
40,2
49,2
62,2
78,2
102,2
124,2
146,2
164,2
197,2
231,2
259,2
265,2
42,2
48,2
57,2
74,2
93,2
114,2
136,2
147,2
169,2
205,2
236,2
251,2
39,2
46,2
58,2
73,2
87,2
100,2
115,2
123,2
144,2
163,2
185,2
192,2
39,2
46,2
58,2
73,2
92,2
114,2
145,2
156,2
184,2
207,2
212,2
233,2
39,2
48,2
59,2
74,2
87,2
106,2
134,2
150,2
187,2
230,2
279,2
309,2
42,2
48,2
59,2
72,2
85,2
98,2
115,2
122,2
143,2
151,2
157,2
150,2
