emplid_ID,GPA,CREDITS,DEGREE
23906511,3.401,120,BS
24151021,3.88,174,BE
24058480,3.723,168,BA
24058754,3.977,130,BA/MA
23644150,3.203,186,BS
23740788,2.96,159.5,BS
14095746,2.879,98,BS
24206442,2.847,116,BA
24038137,3.885,123,BA
16048143,3.792,125,BA/MA
23872268,3.576,123,BA/MA
24212435,3.75,120,BA
23844633,3.828,130,BA
24010924,3.648,120,BA
23407957,2.639,122,BA
24274667,,,
24161789,3.741,127,BA/MA
24105404,3.879,133,BA/MA
24136888,3.83,135,BA/MA
24275553,3.526,120,BA
24184079,3.536,120,BA
24405762,3.366,57,BA
24308217,3.903,143,BS
24130631,3.606,134,BA/MA
24108457,3.418,122,BA
24264044,3.6,30,BE
24040291,3.226,122,BA
24251712,3.369,51,BS
23141159,2.191,129,BS
24450488,3.185,95,BA
23789014,3.112,119,BA
24051319,3.984,167,BA/MA
24355614,,,
23943536,3.113,120,BA
24023890,3.551,130,BA/MA
24012694,3.576,132,BA/MA
24130675,3.713,130,BA/MA
23259244,3.188,159,BA/MA
16046772,2.523,120,BS
24134066,3.657,168,BS
24007183,3.931,130,BA/MA
24265336,4,143,BA/MA
24440214,3.717,98,BS
24204144,3.838,121,BA
23966914,3.818,146,BS
23990732,3.274,129,BA/MA
23720336,3.229,136,BS
23845445,3.789,131,BA/MA
24315296,3.915,116,BA/MA
13010232,3.5,24,MPA
24273264,3.867,128,BA/MA
15267133,3.575,30,MPA
14096885,3.842,30,MPA
23199507,3.457,30,MPA
24180078,3.774,115,BA/MA
24114914,3.814,138,BA/MA
23727433,3.572,24,MPA
23959728,3.216,124,BA
23875531,3.657,130,BA/MA
24421928,2.729,72,BSED
24105167,3.398,175,BA
24171577,3.908,130,BA/MA
23967011,3.987,123,BS
23860181,3.188,120,BA
24172651,3.806,130,BA/MA
24145011,0,0,NON-DEGREE
24042890,3.605,130,BA/MA
24439553,2.781,86,BS
24155343,3.984,122,BS
23051044,3.292,139,BA
24286973,2.908,82,BA
24266743,3.248,100,BS
24385355,3.928,118,BA
24402127,3.047,68,BS
23992708,3.405,131,BS
24349007,2.33,86,BA
15209800,3.95,156,BA
24057006,3.229,104,BA
23519810,3.61,130,BA/MA
24165920,2.772,99,BA
24221670,0.25,3,BA
23930826,2.107,115,BA
24295783,3.068,62,BE
24134711,3.31,122,BA
24030905,3.478,120,BA
24327300,2.611,63,BA
24220575,3.272,121,BA
23923644,2.539,33,BA
24283581,2.871,119,BA
23638291,3.152,111,BA
24281030,0,0,BA
24214990,2.25,78,BA
24329530,2.597,94,BA
24288804,1.67,24,BA
24324608,2.235,64,BE
24302939,3.06,15,BA
24113217,2.237,97,BA
24311671,1,6,BS
24292381,2.039,92,BA
24305488,2.433,79,BA
24281007,2.7,27,BA
24285071,3.116,117,BA
24573905,3.95,36,BA
24399006,1.616,15,BA
24492127,3.669,45,BA
24448828,2.246,52,BS
