SUBJECT,CONG_NEUT,CONG_NEG,INCONG_NEUT,INCONG_NEG
Subject_09,638.294488,719.182692,752.280508,869.788542
Subject_11,930.456452,934.57686,994.384314,1046.397826
Subject_15,362.429508,375.393388,411.213889,436.418584
Subject_24,520.135156,509.587302,755.160417,831.726126
Subject_26,685.16748,732.27931,741.377451,779.500877
Subject_32,486.860163,477.085246,541.612264,507.690179
Subject_42,476.311811,495.404,663.708696,654.546465
Subject_43,760.177647,740.569167,929.249351,974.49619
Subject_44,491.370492,439.3064,553.013559,533.208929
Subject_48,462.57561,494.333858,543.562097,558.633607
Subject_04,515.416935,499.612195,625.091919,623.519
Subject_10,435.665217,467.622826,567.188235,586.080769
Subject_21,581.517323,626.842609,695.32541,691.648673
Subject_29,516.416535,579.25082,593.063333,649.446491
Subject_30,503.929915,445.641026,568.87907,511.180198
Subject_38,432.977391,416.956452,512.944762,568.501942
Subject_41,499.561417,551.152344,683.488785,734.353509
Subject_47,567.505469,537.8136,805.582143,736.44958
Subject_49,664.863158,685.2384,739.852308,767.021
Subject_50,593.342188,610.389063,680.753125,674.2144
Subject_05,537.362205,541.686719,556.738095,539.465854
Subject_08,432.464844,429.115079,584.340566,568.622115
Subject_13,490.125424,508.45748,688.838261,698.198319
Subject_14,443.605645,425.9128,622.136082,589.484043
Subject_20,567.6848,459.601575,722.6,646.053571
Subject_31,425.282609,415.903419,481.072381,485.286813
Subject_34,547.451282,687.846429,613.144578,693.394286
Subject_35,642.898425,650.59127,718.191228,733.449558
Subject_37,432.584746,468.467769,592.146667,641.407865
Subject_45,475.083761,520.992857,611.859574,699.329333
Subject_06,466.647059,475.326891,588.090217,619.390196
Subject_17,750.981102,770.785714,967.620561,946.478431
Subject_18,509.778906,491.174803,571.267769,593.587097
Subject_39,608.425984,573.195276,658.45,626.822131
Subject_07,370.302105,378.146341,424.060714,426.508182
Subject_19,595.106122,589.514286,659.075949,612.51165
Subject_27,447.597561,446.420325,516.930476,513.183333
Subject_36,687.198889,645.502273,714.973737,685.009302
Subject_40,532.682258,515.39685,635.380189,598.15625
Subject_51,480.995041,432.666393,498.961261,498.596262
