Price,Bedrooms,Baths,Stories,SquareFootage,YearBuilt
375000,3,2.5,2,1797,2017
477771,3,3.5,2,2800,2016
229000,2,2,1,1494,2001
232900,3,2,1,1494,2000
237000,2,2,1,1633,1999
226900,3,2,2,1282,2000
119900,1,1,1,777,2000
124900,1,1,3,777,2000
189500,2,2,1,1137,2000
425000,4,3.5,3,3014,2005
205900,2,2,3,1110,2006
179900,2,2,1,1137,2000
224900,2,2,1,1494,1998
199000,2,2,3,1063,2006
375000,4,3,2,2284,2009
220000,2,2,1,1107,2006
369900,3,2.5,2,2004,2006
425000,3,3,3,2605,2009
245000,2,2.5,2,1442,2006
319500,3,2,1,1500,2002
341500,3,2.5,3,2048,2008
369000,4,4,3,2890,2006
394000,4,3.5,2,2785,2006
362500,3,2.5,2,2166,2014
350000,3,2.5,3,2592,2009
347000,3,2.5,2,2100,2013
497562,3,3.5,2,2812,2016
360000,4,3.5,2,2102,2013
349999,4,3.5,2,2151,2013
471895,3,3.5,2,2800,2016
472900,3,3.5,2,2812,2016
477465,3,3.5,2,2750,2017
446900,3,2.5,2,1895,2016
478900,3,2.5,2,2199,2017
464900,3,2.5,2,1895,2017
508000,4,3.5,3,2746,2015
749145,4,3.5,2,3075,2017
478900,3,2.5,2,2199,2017
473490,4,3.5,3,2477,2016
639000,4,3.5,3,3143,2015
513723,3,2,1,1666,2016
327000,4,3.5,3,1900,2004
325000,3,2.5,2,1740,2005
615000,4,3.5,3,3143,2015
763634,4,4,2,2825,2017
562431,5,4.5,3,3241,2017
575000,4,4,2,2890,2016
489900,4,3,2,2072,2017
505000,4,3,2,2457,2017
505990,3,2.5,2,2435,2016
499900,4,2.5,2,2814,2013
525000,4,2.5,1,2083,2015
364900,5,3,3,2350,2005
359500,4,2,1,1760,2001
564775,5,4.5,3,3783,2017
529900,4,3.5,2,2612,2016
519000,4,3.5,2,2761,2016
386990,3,2,1,1540,2016
338800,3,2.5,2,1740,2003
486990,4,3,2,2435,2016
324900,3,2,1,1432,2001
416990,3,2.5,2,2209,2016
613290,4,4,2,3065,2016
339000,3,2.5,2,1740,2003
406990,3,2.5,2,2031,2016
426990,3,2.5,2,2435,2016
441990,4,3.5,2,2561,2016
561900,4,3.5,2,2559,2017
569900,3,3,2,2545,2014
564900,4,3.5,2,3010,2016
614900,5,4.5,2,3304,2017
509000,4,3.5,2,2445,2017
349900,3,2,1,1428,1997
429000,4,2.5,2,2492,2001
534900,3,3.5,2,2357,2017
571900,4,3.5,2,2593,2017
511900,4,3,2,3249,2016
437990,4,2.5,2,2553,2016
549900,3,3,2,2255,2017
505900,3,2.5,2,1990,2017
479900,4,3.5,2,2769,2017
400000,4,2.5,2,2400,2003
380000,3,2.5,2,2799,2005
465000,4,2,1,2461,2005
439990,3,2.5,2,2031,2017
514900,4,3.5,2,2808,2016
497900,4,2.5,2,2852,2006
569900,4,3.5,2,3065,2015
436625,4,3,2,2072,2017
577977,5,3.5,3,3206,2017
464500,5,3,1,2658,2004
575000,4,3,2,3045,2014
530000,4,3.5,2,2761,2014
499990,4,2.5,2,3176,2006
511000,4,3,2,3129,2017
485900,4,3.5,2,2678,2017
329900,3,2.5,2,1622,1999
529900,5,4.5,2,3374,2001
609900,4,3.5,2,3237,2017
574900,4,3.5,2,3180,2016
522075,5,3.5,3,3206,2017
426990,3,2.5,2,2248,2016
421999,3,2.5,2,2588,2001
490000,4,3,2,2819,2003
450000,4,3.5,3,2800,2006
575000,4,3.5,2,3237,2014
589900,4,3.5,2,2593,2017
456990,4,3.5,2,2808,2016
564900,4,3.5,2,2433,2017
534000,3,2.5,2,2445,2016
505000,4,3,2,3246,2014
630000,4,3.5,2,3278,2013
750000,5,5,3,4129,2012
510000,4,2.5,2,2790,2002
512000,3,3,1,2537,2017
854437,4,3.5,2,3025,2016
589900,4,3.5,2,3086,2017
574900,4,3.5,2,2433,2017
785000,4,3.5,3,3324,2002
450000,4,2.5,2,2290,2006
339900,3,2,2,1635,1999
599900,4,3.5,2,3021,2016
522000,4,3.5,2,2761,2017
349900,3,2.5,2,1699,1998
475990,4,2.5,2,2635,2017
474990,4,2.5,2,2649,2017
503990,4,2.5,2,2900,2017
509990,4,2.5,2,2713,2017
524990,4,3,2,2843,2017
930525,4,3.5,2,3107,2017
324000,2,2,2,1613,1997
651948,4,4,2,3058,2016
549990,4,3.5,2,3227,2017
508990,5,3.5,2,3040,2017
445000,5,2.5,2,2816,1998
617500,4,3,2,3371,2003
527900,5,3,2,3185,2009
750000,5,3.5,2,3559,2006
490000,4,3.5,2,2956,2003
835900,4,4.5,2,3098,2017
399000,4,2.5,2,2445,1993
529000,4,2.5,2,2923,2006
729900,4,3.5,2,3067,2017
868000,5,3.5,3,3687,2012
530000,3,3,1,2537,2017
635000,4,4,2,3674,2009
775000,5,3.5,2,3421,2016
1250000,4,4.5,3,3621,2001
725900,4,4.5,2,3220,2016
689000,4,4,2,3407,2013
699990,4,3.5,2,3240,2014
840000,6,4.5,3,4670,2012
655000,6,5,3,3468,2013
765135,5,4,3,3811,2016
500000,4,2.5,2,2982,2007
389900,4,2.5,2,2142,1997
469900,5,3,2,2709,2004
752000,4,4,3,3766,2016
795000,5,4,2,3600,2007
599000,4,4,2,3174,2004
775000,4,4,2,3884,2007
756500,4,3.5,2,3158,2008
750000,5,4,2,4007,2017
469900,4,2,1,2177,2015
774650,6,5,3,4338,2017
832140,5,5.5,2,4377,2017
445000,5,2.5,2,3005,1997
789900,5,4.5,3,4700,2006
875000,5,3.5,2,4383,2008
850000,5,4,2,4700,2010
723000,4,3.5,2,3463,2017
735000,6,5,3,4500,2004
874900,4,4,2,3528,2017
650000,4,3.5,2,3678,2005
689950,4,3.5,1,3950,2000
750000,5,4,2,3793,2016
735000,5,3.5,3,3511,2009
769900,4,3.5,2,2767,2014
875000,4,3,2,5276,2007
600000,4,2.5,2,2794,2001
440000,4,2.5,2,2524,2003
659900,4,3.5,2,3304,2006
935000,6,4.5,3,4451,2016
715015,5,4,3,3523,2016
775000,4,5.5,2,3837,2004
720000,5,4.5,2,3992,2002
1800000,5,5.5,3,5401,2016
430000,3,2,1,2112,2003
999999,5,4.5,2,4300,2004
640000,5,4,2,4199,2007
880000,5,3.5,2,4301,2006
1450000,6,4.5,3,5000,2016
604000,5,4,2,3449,2007
1399000,6,5.5,2,4400,2001
1136900,4,4.5,2,4450,2017
445000,3,2,1,2093,2003
699900,5,3.5,2,3753,2004
795000,5,4.5,3,4580,2004
540000,5,4,2,3171,2006
875000,5,4.5,2,3886,2006
899000,5,5.5,2,4361,2004
875000,5,5,2,3882,2008
739000,4,4,3,4078,2001
879000,5,3.5,2,3800,2017
840000,5,4.5,2,3927,2005
827189,6,4,2,3841,2016
1100000,5,4,2,4030,2013
719000,5,4.5,3,4064,2002
879900,5,4,3,4433,2004
1575000,5,4.5,3,5364,2005
1595000,6,6.5,3,4775,2016
1495000,4,3.5,2,4100,2001
1375000,5,3.5,2,4935,2002
840000,5,5,2,3912,2017
924900,4,3.5,2,3900,2002
710000,4,3.5,2,3089,2001
899000,6,4.5,2,4167,1995
649900,4,2.5,2,3442,1992
1050000,4,4,3,5600,1992
1199000,4,3.5,2,3867,1998
523900,3,2,1,2243,1993
1199000,4,3.5,2,4250,1999
665000,4,3.5,2,3424,1992
830000,5,4,2,4363,1996
669900,5,4.5,2,3365,1995
698980,5,4.5,2,4700,1997
585000,4,3.5,2,2803,2000
1500000,4,4.5,3,4883,2004
1850000,5,5.5,3,6527,2008
715000,3,2.5,1,2905,1999
975000,4,4,3,4059,1993
650000,4,2.5,2,3334,1992
799900,5,3.5,2,4197,2003
1699000,5,5.5,3,7784,2012
1345000,6,5,2,4975,1998
698000,4,3.5,2,3218,1996
925000,4,3.5,2,5059,1992
1818000,3,3.5,2,4640,1998
1112885,4,4,2,3312,2017
827655,3,2.5,2,2751,2017
1005685,4,4,2,2825,2017
2000000,4,5.5,2,4563,2007
891846,4,3.5,2,3075,2017
