danceability,mode,acousticness,valence,genre
0.831,1,0.0598,0.389,Dark Trap
0.719,1,0.401,0.124,Dark Trap
0.85,1,0.0138,0.0391,Dark Trap
0.476,1,0.0237,0.175,Dark Trap
0.798,1,0.217,0.591,Dark Trap
0.721,1,0.0452,0.109,Dark Trap
0.718,1,0.0254,0.038,Dark Trap
0.694,1,0.0397,0.283,Dark Trap
0.774,1,0.0614,0.189,Dark Trap
0.893,1,0.152,0.302,Dark Trap
0.864,1,0.187,0.0478,Dark Trap
0.736,1,0.146,0.18,Dark Trap
0.825,1,0.0111,0.161,Dark Trap
0.767,0,0.145,0.187,Dark Trap
0.765,1,0.0077,0.27,Dark Trap
0.617,1,0.125,0.43,Dark Trap
0.755,1,0.154,0.0372,Dark Trap
0.814,1,0.172,0.288,Dark Trap
0.812,0,0.0987,0.348,Dark Trap
0.849,1,0.0725,0.196,Dark Trap
0.602,1,0.0343,0.156,Dark Trap
0.876,1,0.112,0.72,Dark Trap
0.777,1,0.312,0.293,Dark Trap
0.829,0,0.0391,0.332,Dark Trap
0.783,0,0.2,0.152,Dark Trap
0.787,1,0.000997,0.21,Dark Trap
0.705,0,0.00476,0.398,Dark Trap
0.69,1,0.0525,0.0797,Dark Trap
0.799,1,0.089,0.864,Dark Trap
0.936,1,0.0139,0.363,Dark Trap
0.838,1,0.00537,0.224,Dark Trap
0.964,1,0.000214,0.474,Dark Trap
0.83,0,0.0858,0.561,Dark Trap
0.455,0,0.136,0.279,Dark Trap
0.748,1,0.484,0.193,Dark Trap
0.745,0,0.264,0.522,Dark Trap
0.722,1,0.0253,0.128,Dark Trap
0.657,1,0.232,0.153,Dark Trap
0.936,1,0.0213,0.168,Dark Trap
0.765,0,0.0643,0.218,Dark Trap
0.65,1,0.0912,0.256,Dark Trap
0.386,1,0.101,0.193,Dark Trap
0.563,1,0.236,0.0396,Dark Trap
0.777,1,0.0905,0.462,Dark Trap
0.607,1,0.00641,0.18,Dark Trap
0.628,1,0.00362,0.0387,Dark Trap
0.468,1,0.115,0.0387,Dark Trap
0.512,1,0.00386,0.132,Dark Trap
0.504,1,0.832,0.878,Dark Trap
0.608,1,0.0246,0.0637,Dark Trap
0.783,1,0.00873,0.173,Dark Trap
0.668,0,0.0612,0.102,Dark Trap
0.528,1,0.202,0.0356,Dark Trap
0.796,1,0.0059,0.0292,Dark Trap
0.299,0,0.445,0.0392,Dark Trap
0.644,1,0.00329,0.175,Dark Trap
0.473,1,0.00345,0.24,Dark Trap
0.471,0,0.0219,0.0392,Dark Trap
0.665,1,0.069,0.117,Dark Trap
0.812,0,0.236,0.248,Dark Trap
0.262,0,0.0237,0.253,Dark Trap
0.571,1,0.0042,0.177,Dark Trap
0.753,0,0.324,0.19,Dark Trap
0.935,1,0.0308,0.0769,Dark Trap
0.726,1,0.553,0.318,Dark Trap
0.854,1,0.263,0.255,Dark Trap
0.526,0,0.067,0.187,Dark Trap
0.84,0,0.532,0.376,Dark Trap
0.818,0,0.29,0.285,Dark Trap
0.881,1,0.267,0.272,Dark Trap
0.77,0,0.0601,0.0947,Dark Trap
